station,lat,lon,elev_m,grav_mean,grav_dc,grav_rel,FAC,FAA,instrument,n,grav_std,datetime_mid,easting,northing,station_m,elevation_m,gravity_tied_mgal,free_air_correction_mgal,reference_elevation_m,obs_height_used_m,harmonica_gz_mgal,gravity_free_air_only_mgal,harmonica_gz_relative_mgal,corrected_add_rel_mgal,corrected_subtract_rel_mgal,gravity_harmonica_lidar_corrected_mgal,dem_x,dem_y,dem_x_fixed_line,dem_y_fixed_line,dem_elevation_m_raw_fixed_line,dem_elevation_m_fixed,gps_minus_dem_fixed_m,elevation_m_original,elevation_m_fixed_dem,height_above_reference_m,bouguer_correction_mgal,gravity_simple_bouguer_corrected_mgal,elev_m_original
12.0,40.4788,-106.8355,2111.0974,3892.0,3892.0004,0.1982,0.35659274,651.4775,41422,3,0.0026,2026-05-27 13:37:35.666666,344417.93971805216,4482519.55183374,12.0,2110.432,0.1982,651.2793,2109.942,2110.682,-1.5724171583671225,0.5547927445888519,-0.0847083690823495,651.3927916309177,0.6395011136712013,0.6395011136712013,2628495.80798566,1420064.8401613522,2628484.762914567,1420057.1991371065,2123.6606,2111.0974,-0.665412109375211,2110.432,2111.0974,1.1555176,0.12936378,0.42542896933555596,2111.0974
12.5,40.4788,-106.8355,2111.058,3892.0568,3892.0575,0.2553,0.3444627,651.5269,41422,5,0.0019,2026-05-27 14:32:05.400000,344417.93971805216,4482519.55183374,12.5,2110.407,0.2553,651.2716,2109.942,2110.657,-1.571696359410612,0.5997626927375794,-0.0839875701258394,651.4429124298742,0.6837502628634189,0.6837502628634189,2628495.80798566,1420064.8401613522,2628484.2858042326,1420058.5075550668,2123.6213,2111.058,-0.6511054687498472,2110.407,2111.058,1.1162109,0.124963276,0.47479941664934167,2111.058
13.0,40.4788,-106.8355,2110.9927,3892.0173,3892.0178,0.2156,0.3242711,651.5572,41422,3,0.0012,2026-05-27 13:42:04.666666,344417.93971805216,4482519.55183374,13.0,2110.634,0.2156,651.3417,2109.942,2110.884,-1.5660104722216963,0.5398711126804352,-0.0783016829369238,651.478998317063,0.618172795617359,0.618172795617359,2628495.80798566,1420064.8401613522,2628483.808693898,1420059.8159730271,2123.556,2110.9927,-0.35867578124998545,2110.634,2110.9927,1.0507812,0.11763822,0.4222328898072243,2110.9927
13.5,40.4788,-106.8355,2110.9175,3892.0603,3892.061,0.2588,0.30106583,651.4841,41422,3,0.0012,2026-05-27 14:23:23.666666,344417.93971805216,4482519.55183374,13.5,2110.257,0.2588,651.2253,2109.942,2110.507,-1.5673806265343329,0.55986583237648,-0.0796718372495601,651.4044281627504,0.6395376696260401,0.6395376696260401,2628495.80798566,1420064.8401613522,2628483.3315835637,1420061.1243909874,2123.4807,2110.9175,-0.6604804687499382,2110.257,2110.9175,0.97558594,0.10921987,0.4506459609150886,2110.9175
14.0,40.4788,-106.8355,2110.867,3892.033,3892.0335,0.2313,0.28547007,651.846,41422,3,0.001,2026-05-27 13:46:13.666666,344417.93971805216,4482519.55183374,14.0,2111.519,0.2313,651.6148,2109.942,2111.769,-1.3937443328993997,0.5167700684547425,0.0939644563853729,651.9400644563854,0.4228056120693696,0.4228056120693696,2628495.80798566,1420064.8401613522,2628482.854473229,1420062.4328089477,2123.4302,2110.867,0.6520566406247781,2111.519,2110.867,0.9250488,0.10356209,0.4132079816341401,2110.867
14.5,40.4788,-106.8355,2110.824,3892.0575,3892.0581,0.2559,0.2722099,651.9,41422,10,0.0106,2026-05-27 14:09:04.300000,344417.93971805216,4482519.55183374,14.5,2111.614,0.2559,651.6441,2109.942,2111.864,-1.3752847277879956,0.5281099125385285,0.112424061496777,652.0124240614967,0.4156858510417515,0.4156858510417515,2628495.80798566,1420064.8401613522,2628482.377362895,1420063.741226908,2123.3872,2110.824,0.7900253906250327,2111.614,2110.824,0.8820801,0.098751605,0.4293583079814911,2110.824
15.0,40.4788,-106.8355,2110.7878,3892.0637,3892.0641,0.262,0.26105934,651.8397,41422,3,0.0006,2026-05-27 13:50:07.666666,344417.93971805216,4482519.55183374,15.0,2111.399,0.262,651.5777,2109.942,2111.649,-1.4170706634218992,0.5230593438148499,0.0706381258628734,651.9103381258628,0.4524212179519765,0.4524212179519765,2628495.80798566,1420064.8401613522,2628481.90025256,1420065.0496448684,2123.351,2110.7878,0.6111582031248872,2111.399,2110.7878,0.84594727,0.09470642,0.42835292023420335,2110.7878
15.0,40.4788,-106.8355,2110.7878,3705.312,3892.0641,0.262,0.26105934,651.8397,40353,8,0.0125,2026-05-27 12:37:40.625000,344417.93971805216,4482519.55183374,15.0,2111.399,0.262,651.5777,2109.942,2111.649,-1.4170706634218992,0.5230593438148499,0.0706381258628734,651.9103381258628,0.4524212179519765,0.4524212179519765,2628495.80798566,1420064.8401613522,2628481.90025256,1420065.0496448684,2123.351,2110.7878,0.6111582031248872,2111.399,2110.7878,0.84594727,0.09470642,0.42835292023420335,2110.7878
15.5,40.4788,-106.8355,2110.751,3705.3897,3892.1765,0.3743,0.24968272,651.8749,40353,3,0.004,2026-05-27 14:11:41.666666,344417.93971805216,4482519.55183374,15.5,2111.149,0.3743,651.5006,2109.942,2111.399,-1.465699223422641,0.6239827244758607,0.0220095658621317,651.8969095658621,0.601973158613729,0.601973158613729,2628495.80798566,1420064.8401613522,2628481.423142226,1420066.3580628284,2123.3142,2110.751,0.3980234374998872,2111.149,2110.751,0.80908203,0.09057924,0.5334034829616547,2110.751
17.0,40.4788,-106.8355,2110.6453,3705.3593,3892.1148,0.3126,0.21705972,651.7126,40353,3,0.0025,2026-05-27 12:46:43.666666,344417.93971805216,4482519.55183374,17.0,2110.823,0.3126,651.4,2109.942,2111.073,-1.5291758936841844,0.5296597165822983,-0.0414671043994117,651.6711328956005,0.57112682098171,0.57112682098171,2628495.80798566,1420064.8401613522,2628479.991811223,1420070.2833167093,2123.2085,2110.6453,0.1777363281248654,2110.823,2110.6453,0.70336914,0.07874436,0.4509153572678566,2110.6453
