station,gravity_final_mgal,elevation_m,latitude,longitude,free_air_correction_mgal,bouguer_correction_mgal,gravity_tied_mgal,instrument,gps_longitude,gps_latitude,gps_elevation_m,easting_m,northing_m,dem_elevation_m_at_station_raw,dem_vertical_shift_m,dem_elevation_m_at_station,gps_minus_dem_elevation_m,obs_height_used_m,harmonica_topography_effect_mgal,gravity_harmonica_lidar_corrected_mgal
16.0,0.4280339253508837,2110.686,40.47880082,-106.8355259,0.2533606000001134,0.0919134951000411,0.2665868204508115,CG5-1,-106.8355259,40.47880082,2110.686,344415.74613681965,4482519.688534679,2123.2864482641767,-12.54840576635479,2110.738042497822,-0.05204249782173065,2110.936,-0.47193959181953715,0.991887012270462
17.0,0.4880883683470038,2110.823,40.47880759,-106.83552801,0.2956388000000258,0.1072510698000093,0.2997006381469873,CG5-1,-106.83552801,40.47880759,2110.823,344415.58291280153,4482520.443782107,2123.2193415682723,-12.54840576635479,2110.6709358019175,0.15206419808237115,2111.073,-0.4796187918882128,1.0749582300352258
18.0,0.4882740243975842,2110.624,40.47881475,-106.83553174,0.2342274000000044,0.0849724029000016,0.3390190272975815,CG5-1,-106.83553174,40.47881475,2110.624,344415.2832664013,4482521.245179654,2123.1561193257394,-12.54840576635479,2110.6077135593846,0.0162864406152039,2110.874,-0.47910283450600133,1.0523492618035872
19.0,0.40765353437856,2110.077,40.47882589,-106.83553107,0.0654232000001369,0.0237340572000496,0.3659643915784727,CG5-1,-106.83553107,40.47882589,2110.077,344415.36578812473,4482522.480631018,2123.024565457362,-12.54840576635479,2110.476159691007,-0.3991596910068438,2110.327,-0.5264512268914692,0.9578388184700788
20.0,0.4404698371589216,2110.281,40.4788353,-106.83553229,0.1283776000000516,0.0465724896000187,0.3586647267588887,CG5-1,-106.83553229,40.4788353,2110.281,344415.28410418326,4482523.527370962,2122.922651393299,-12.54840576635479,2110.3742456269442,-0.09324562694428096,2110.531,-0.529765488950004,1.0168078157089444
21.0,0.4947715924675129,2110.418,40.47884422,-106.83553858,0.1706558000001044,0.0619100643000378,0.3860258567674464,CG5-1,-106.83553858,40.47884422,2110.418,344414.77151831985,4482524.528657776,2122.853019399398,-12.54840576635479,2110.304613633043,0.11338636695700188,2110.668,-0.5328983116552973,1.0895799684228482
22.0,0.4034797466923997,2109.898,40.47885295,-106.83553779,0.01018380000011,0.0036944523000399,0.3969903989923296,CG5-1,-106.83553779,40.47885295,2109.898,344414.85864633834,4482525.49636742,2122.758184474555,-12.54840576635479,2110.2097787082002,-0.31177870820010867,2110.148,-0.5423027523561903,0.9494769513486299
23.0,0.4325007144013713,2109.905,40.47886276,-106.83554206,0.0123440000001291,0.0044781240000468,0.424634838401289,CG5-1,-106.83554206,40.47886276,2109.905,344414.5193460764,4482526.592889408,2122.677031715938,-12.54840576635479,2110.1286259495832,-0.22362594958303816,2110.155,-0.5467790134345275,0.9837578518359456
24.0,0.4509702795839032,2109.993,40.47886807,-106.83554226,0.0395008000000482,0.0143299968000175,0.4257994763838724,CG5-1,-106.83554226,40.47886807,2109.993,344414.51465603505,4482527.182696398,2122.622456556982,-12.54840576635479,2110.074050790627,-0.08105079062715959,2110.243,-0.567962668290978,1.0332629446748984
25.0,0.5144383459565375,2110.27,40.47887795,-106.83554295,0.1249830000000617,0.0453410055000224,0.4347963514564981,CG5-1,-106.83554295,40.47887795,2110.27,344414.47898442997,4482528.280675626,2122.52232940743,-12.54840576635479,2109.973923641075,0.2960763589248927,2110.52,-0.5856505988407164,1.145429950297276
